Item type,Compiler #,Audit status,Editorial lane,Issue count,Issues,Next action,Chapter or lane,Date,Title,Release or status,Pages,NAID,Local identifier,Source locator,Source-note basis,Published FRUS status,FRUS standard checklist,Source note,Provenance note,Catalog URL,PDF URL
Confirmed record,2.004,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Pakistan,1989-02-25,Memorandum of Conversation,Declassified,2 pages,366551660,91107-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001 | source pages 111-112 | 41-bpr-scow-pcor-memcon-91107-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, OA/ID 91107-001, source pages 111-112.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 111-112.",https://catalog.archives.gov/id/366551660,documents/pakistan/1989-02-25-bush-benazir-bhutto-memcon-scowcroft.pdf
Confirmed record,3.002,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,India,1989-02-26,Memorandum of Conversation,Declassified,12 pages,366551661,91107-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-002 | source pages 21-32 | 41-bpr-scow-pcor-memcon-91107-002.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, OA/ID 91107-002, source pages 21-32.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, 91107-002, NAID 366551661, source pages 21-32.",https://catalog.archives.gov/id/366551661,documents/india/1989-02-26-bush-zhao-ziyang-memcon-scowcroft.pdf
Confirmed record,1.006,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,6 pages,470760979,90009-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-005 | 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, OA/ID 90009-005.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-005, NAID 470760979. Catalog URL: https://catalog.archives.gov/id/470760979. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf, object ID 483296203, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf. Page count: 6 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-0052-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
Confirmed record,1.007,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",Restricted - Possibly,1 page,470760888,90000-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-004 | 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), OA/ID 90000-004.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC) Meeting Files, 90000-004, NAID 470760888. Catalog URL: https://catalog.archives.gov/id/470760888. Series URL: https://catalog.archives.gov/id/312293887. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf, object ID 483296427, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf. Page count: 1 (measured from available PDF). FOIA tracking: 2004-0722-F, 2009-0857-F, 2004-0728-F, 2005-0989-F, 2005-0052-F, 2005-0992-F, 2005-1003-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90000. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
Confirmed record,1.008,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",Restricted - Possibly,43 pages,446396815,90003-006,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-006 | 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), OA/ID 90003-006.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Directive (NSD) Files, 90003-006, NAID 446396815. Catalog URL: https://catalog.archives.gov/id/446396815. Series URL: https://catalog.archives.gov/id/313189290. Digital object: 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf, object ID 483296520, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf. Page count: 43 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
Confirmed record,4.002,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Restricted - Possibly,102 pages,470760991,90009-017,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-017 | 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, OA/ID 90009-017.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-017, NAID 470760991. Catalog URL: https://catalog.archives.gov/id/470760991. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf, object ID 483295871, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf. Page count: 102 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426183, CF01618-009.",https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
Confirmed record,1.009,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Afghanistan,1989-04-11,Memorandum of a Telephone Conversation,Declassified,2 pages,366551686,91111-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-001 | source pages 65-66 | 41-bpr-scow-pcor-telcon-91111-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, OA/ID 91111-001, source pages 65-66.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, 91111-001, NAID 366551686, source pages 65-66.",https://catalog.archives.gov/id/366551686,documents/afghanistan/1989-04-11-bush-king-fahd-telcon-scowcroft.pdf
Confirmed record,3.003,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Restricted - Possibly,45 pages,470760996,90010-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90010-001 | 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), OA/ID 90010-001.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90010-001, NAID 470760996. Catalog URL: https://catalog.archives.gov/id/470760996. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf, object ID 483295936, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf. Page count: 45 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90010. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
Confirmed record,2.005,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-06-06,Memorandum of Conversation,Full,3 pages,428080031,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989 | 1989-06-06--Bhutto.pdf,Bush Library citation-marker extraction; original classification Secret.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01729-006, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Secret.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/6/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080031. National Archives Catalog item: Plenary Meeting with Prime Minister Bhutto of Pakistan, June 6, 1989, NAID 428080031. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989, NAID 325377389. Digital object: 1989-06-06--Bhutto.pdf, object ID 428080032, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551663, 91107-004, source pages 21-23; Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Presidential Meeting Files, NAID 470426373, CF01404-020.",https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
Confirmed record,2.006,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Declassified,5 pages,366551687,91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 51-55 | 41-bpr-scow-pcor-telcon-91111-002.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 51-55.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 51-55.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-benazir-bhutto-telcon-scowcroft.pdf
Confirmed record,2.007,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Declassified,2 pages,366551687,91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 49-50 | 41-bpr-scow-pcor-telcon-91111-002.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 49-50.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 49-50.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-helmut-kohl-telcon-scowcroft.pdf
Confirmed record,3.004,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,India,1989-06-08,Memorandum of Telephone Conversation,Full,4 pages,428080057,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-08--Gandhi.pdf,Bush Library citation-marker extraction; original classification Secret.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Secret.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/8/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080057. National Archives Catalog item: Presidential Phone Call to Prime Minister Gandhi, June 8, 1989, NAID 428080057. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989, NAID 325592633. Digital object: 1989-06-08--Gandhi.pdf, object ID 428080058, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf. Access restriction: Unrestricted. Page count: 4 (measured from available PDF).",https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
Confirmed record,2.008,Visible note clean,Ready source-note check,0,,Ready for final editor source-note check.,Pakistan,1989-06-09,Memorandum of a Telephone Conversation,Declassified,2 pages,366551687,91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 56-57 | 41-bpr-scow-pcor-telcon-91111-002.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 56-57.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 56-57.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-09-bush-benazir-bhutto-telcon-scowcroft.pdf
Confirmed record,2.009,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-06-10,Memorandum of Telephone Conversation,Full,1 page,428080061,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-10--Bhutto.pdf,Bush Library citation-marker extraction; no classification marking on first page.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. No classification marking.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/10/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080061. National Archives Catalog item: TELCON with Prime Minister Bhutto of Pakistan, June 10, 1989, NAID 428080061. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989, NAID 325592633. Digital object: 1989-06-10--Bhutto.pdf, object ID 428080062, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551687, 91111-002, source pages 58-58.",https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
Confirmed record,3.005,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,India,1989-07-04,Memorandum of Telephone Conversation,Full,2 pages,428080113,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989 | 1989-07-04--Gandhi.pdf,Bush Library citation-marker extraction; original classification Confidential.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-007, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Confidential.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 7/4/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080113. National Archives Catalog item: Telephone Conversation with Prime Minister Gandhi of India, July 4, 1989, NAID 428080113. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989, NAID 325592634. Digital object: 1989-07-04--Gandhi.pdf, object ID 428080114, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551687, 91111-002, source pages 80-81.",https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
Confirmed record,2.010,Visible note clean,Title/source verification,0,,Verify the catalog-derived title and source chain against the PDF or folder title page.,Pakistan,1989-08-05,Memorandum of Telephone Conversation,Full,2 pages,428080169,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989 | 1989-08-05--Bhutto.pdf,Bush Library citation-marker extraction; original classification Secret.,Citation-marker target applied,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification/no-marking captured,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-008, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Secret.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 8/5/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080169. National Archives Catalog item: Phone Call to the President from the Pakistani Prime Minister, August 5, 1989, NAID 428080169. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989, NAID 325592635. Digital object: 1989-08-05--Bhutto.pdf, object ID 428080170, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551688, 91111-003, source pages 33-34.",https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
Confirmed record,4.003,Visible note clean,Access-status decision,0,,Confirm whether this item can be selected or should only be cited as withheld/restricted context.,Regional,1989-08-29,"NSD-20 - August 29, 1989 - U.S. Policy toward South Asia",Restricted - Possibly,45 pages,446396836,90003-027,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-027 | 41-bpr-nsc-hfiles-nsd-20-90003-027.pdf,FRUS-style archival chain generated from local source metadata; verify against PDF or title page before final selection.,Metadata-derived draft; verify against PDF/title page,starts with Source:; no URL/NAID/catalog/release ledger in visible note; Bush Presidential Records present; OA/ID or selected pages present; classification pending unless not visible,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-20 - August 29, 1989 - U.S. Policy toward South Asia, OA/ID 90003-027.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Directive (NSD) Files, 90003-027, NAID 446396836. Catalog URL: https://catalog.archives.gov/id/446396836. Series URL: https://catalog.archives.gov/id/313189290. Digital object: 41-bpr-nsc-hfiles-nsd-20-90003-027.pdf, object ID 483296483, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf. Page count: 45 (measured from available PDF). Other finding aid identifier: Pres-Bush. Container: 90003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396836,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf
