Row type,Participant label,Authority status,Authority name,Authority entry,Agency,Categories,Record count,Chapters,First date,Last date,Representative records,Next action,Notes
Authority context entry,,Not named in confirmed participant metadata,"Carty, Liza","Carty, Liza, Office of Pakistan, Afghanistan, and Bangladesh Affairs, Department of State",State,South Asia officials; Pakistan; Afghanistan; Bangladesh,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Charles, Sandra","Charles, Sandra, Director for Near East and South Asian Affairs, National Security Council staff",NSC,South Asia officials; Policy officials; NSC,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Cheney, Richard Bruce","Cheney, Richard Bruce, member, U.S. House of Representatives (R-Wyoming); Secretary of Defense from March 21, 1989",Defense,Core officials; Defense and security,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Creekmore, Marion V.","Creekmore, Marion V., Deputy Afghan Coordinator; U.S. Ambassador to Sri Lanka and Maldives",State,South Asia posts; Afghanistan; Sri Lanka; Maldives,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"De Pree, Willard A.","De Pree, Willard A., U.S. Ambassador to Bangladesh until August 17, 1990",State,South Asia posts; Bangladesh,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Eagleburger, Lawrence Sidney","Eagleburger, Lawrence Sidney, Secretary of State from December 8, 1992, until January 20, 1993; Acting Secretary of State from August 23, 1992, until December 8, 1992; Deputy Secretary of State from March 20, 1989, until December 8, 1992",State,Core officials; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Ealum, James M.","Ealum, James M., Special Adviser for Afghanistan, Department of State",State,South Asia officials; Afghanistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Feierstein, Gerald M.","Feierstein, Gerald M., Principal Officer, U.S. Consulate at Peshawar",State,South Asia posts; Afghanistan; Pakistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Flaten, Robert A.","Flaten, Robert A., Director, Office of Pakistan, Afghanistan, and Bangladesh Affairs, Department of State",State,South Asia officials; Pakistan; Afghanistan; Bangladesh,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Frank, Milton","Frank, Milton, U.S. Ambassador to Nepal until September 16, 1989",State,South Asia posts; Nepal,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Gates, Robert M.","Gates, Robert M., Deputy Director of Central Intelligence until March 1989; Deputy Assistant to the President for National Security Affairs from March 1989 until August 3, 1989; Assistant to the President and Deputy for National Security Affairs from August 3, 1989, until August 1991; Director of Central Intelligence from August 1991",NSC,Core officials; Intelligence; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Greene, Earnest T.","Greene, Earnest T., Deputy to the Special Envoy to the Afghan Resistance",State,South Asia officials; Afghanistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Griffin, George G.B.","Griffin, George G.B., Director, Office of Bhutan, India, Maldives, Nepal, Sri Lanka Affairs; Director, Office of India, Nepal, and Sri Lanka Affairs, Department of State",State,South Asia officials; India; Sri Lanka; Nepal; Maldives,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Hills, Carla Anderson","Hills, Carla Anderson, United States Trade Representative from February 6, 1989, until January 20, 1993",USTR,Economic policy; Trade,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Kanter, Arnold L.","Kanter, Arnold L., senior staff member, RAND corp.; Special Assistant to the President for National Security Affairs and Senior Director for Defense Policy and Arms Control, National Security Council staff, from June 5, 1989, until August 2, 1991; Under Secretary of State for Political Affairs from October 4, 1991, until January 20, 1993",State,Defense and security; Policy officials; NSC,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Kelly, John Hubert","Kelly, John Hubert, Deputy Director, Policy Planning Staff, Department of State, until February 1989; Assistant Secretary of State for Near Eastern and South Asian Affairs, from June 16, 1989, until September 30, 1991; U.S. Ambassador to Finland from December 20, 1991",State,South Asia officials; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Kimmitt, Robert M.","Kimmitt, Robert M., lawyer, Sidley & Austin; Under Secretary of State for Political Affairs from March 2, 1989, until August 23, 1991; U.S. Ambassador to Germany from September 5, 1991",State,Core officials; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Mack, David L.","Mack, David L., U.S. Ambassador to the United Arab Emirates until October 24, 1989; Deputy Assistant Secretary of State for Near Eastern and South Asian Affairs from May 23, 1990",State,South Asia officials; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"McCormack, Richard T.","McCormack, Richard T., U.S. Permanent Representative to the Organization of American States until April 13, 1989; Under Secretary of State for Economic and Agricultural Affairs, from April 14, 1989, until May 3, 1991",State,Economic policy; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"McWilliams, Edmund F., Jr.","McWilliams, Edmund F., Jr., Deputy Chief of Mission and Consul, U.S. Embassy in Kabul [1989]; Political Counselor, U.S. Embassy in Managua [1991, 1992]; Political and Economic Counselor, U.S. Embassy in Dushanbe [1992]; Charge d'Affaires ad interim, U.S. Embassy in Dushanbe from March 13, 1992, and Charge d'Affaires ad interim, U.S. Embassy in Bishkek from February 1992",State,South Asia posts; Afghanistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Milam, William B.","Milam, William B., Deputy Assistant Secretary for International Finance and Development, Bureau of Economic and Business Affairs, Department of State [1989, 1990]; U.S. Ambassador to Bangladesh from September 1, 1990",State,South Asia posts; Bangladesh,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Monjo, John C.","Monjo, John C., U.S. Ambassador to Malaysia until April 22, 1989; U.S. Ambassador to Indonesia from May 31, 1989, until July 18, 1992; U.S. Ambassador to Pakistan from November 10, 1992",State,South Asia posts; Pakistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Oakley, Robert B.","Oakley, Robert B., U.S. Ambassador to Pakistan until August 29, 1991",State,South Asia posts; Pakistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Pickering, Thomas R.","Pickering, Thomas R., U.S. Permanent Representative to the United Nations from March 20, 1989, until May 7, 1992; U.S. Ambassador to India from August 14, 1992",State,South Asia posts; India,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Platt, Nicholas","Platt, Nicholas, U.S. Ambassador to the Philippines until July 20, 1991; U.S. Ambassador to Pakistan from October 24, 1991, until November 3, 1992",State,South Asia posts; Pakistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Quayle, J. Danforth, III","Quayle, J. Danforth, III, Vice President of the United States",White House,Core officials; Presidential,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Raphel, Robin L.","Raphel, Robin L., Political Counselor, U.S. Embassy in Pretoria [1989-1991]; Political Counselor, U.S. Embassy in New Delhi [1991, 1992]",State,South Asia posts; India,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Riedel, Bruce O.","Riedel, Bruce O., Director for Near East and South Asian Affairs, National Security Council staff",NSC,South Asia officials; Policy officials; NSC,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Ross, Dennis B.","Ross, Dennis B., Director, Policy Planning Staff, Department of State, from January 21, 1989, until August 23, 1992; Assistant to the President for Policy Planning from August until November 1992",State,Policy officials; White House,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Schaffer, Teresita Currie","Schaffer, Teresita Currie, Director, Office of Egypt Affairs, Bureau of Near Eastern and South Asian Affairs, Department of State until 1989; Deputy Assistant Secretary of State for Near Eastern and South Asian Affairs from 1989 until 1992; U.S. Ambassador to Sri Lanka and Maldives from October 7, 1992",State,South Asia officials; South Asia posts,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Scowcroft, Brent","Scowcroft, Brent, Gen., USAF (Ret.); President's Assistant for National Security Affairs from January 1989",NSC,Core officials; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Sittmann, William F.","Sittmann, William F., Deputy Executive Secretary, National Security Council staff from June 1989 until June 1990; Executive Secretary, National Security Council staff from June 4, 1990",NSC,Source routing; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Skinner, Samuel K.","Skinner, Samuel K., Secretary of Transportation; White House Chief of Staff from December 16, 1991, until August 29, 1992",White House,Core officials; White House,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Sununu, John H.","Sununu, John H., White House Chief of Staff from January 21, 1989, until December 15, 1991; Counselor to the President from December 16, 1991, until February 28, 1992",White House,Core officials; White House,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Tahir-Kheli, Shirin","Tahir-Kheli, Shirin, Director for Near East and South Asian Affairs, National Security Council staff",NSC,South Asia officials; Policy officials; NSC,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Tomsen, Peter","Tomsen, Peter, Special Envoy to the Afghan Resistance",State,South Asia officials; Afghanistan,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Tutwiler, Margaret D.","Tutwiler, Margaret D., Assistant Secretary of State for Public Affairs from March 3, 1989, until August 23, 1992; Assistant to the President for Communications from August 23, 1992",State,Public affairs; White House,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Warren, Louis B.","Warren, Louis B., Deputy Director, Office of India, Nepal, and Sri Lanka Affairs; Economic Counselor, U.S. Embassy in New Delhi",State,South Asia officials; Economic policy; India; Sri Lanka; Nepal,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Welch, C. David","Welch, C. David, Director for Near East and South Asian Affairs, National Security Council staff",NSC,South Asia officials; Policy officials; NSC,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Wisner, Frank George II","Wisner, Frank George II, U.S. Ambassador to Egypt until June 6, 1991; U.S. Ambassador to the Philippines from August 16, 1991, until June 10, 1992; Under Secretary of State for International Security Affairs from July 20, 1992, until January 19, 1993; Secretary of State ad interim on January 20, 1993",State,Defense and security; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Wolfowitz, Paul D.","Wolfowitz, Paul D., U.S. Ambassador to Indonesia until May 12, 1989; Under Secretary of Defense for Policy from May 15, 1989, until January 19, 1993",Defense,Defense and security; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Authority context entry,,Not named in confirmed participant metadata,"Zoellick, Robert Bruce","Zoellick, Robert Bruce, Counselor of the Department of State from March 2, 1989, until March 23, 1992; Undersecretary of State for Economic and Agricultural Affairs from May 20, 1991, until August 23, 1992; White House Deputy Chief of Staff from August 23, 1992, until January 20, 1993",State,Economic policy; White House; Policy officials,,,,,,Keep as source-context authority until final selected documents confirm whether the person belongs in the published Persons list.,Present in the local authority list but not named in confirmed record participant metadata.
Chronology participant,Benazir Bhutto,Matched authority entry,"Bhutto, Benazir","Bhutto, Benazir, Prime Minister of Pakistan until August 6, 1990",Foreign government,Foreign principals; Pakistan,9,Pakistan,1989-01-23,1989-11-01,"Doc 2.001 (1989-01-23, Pakistan); Doc 2.003 (1989-02-24, Pakistan); Doc 2.004 (1989-02-25, Pakistan); Doc 2.005 (1989-06-06, Pakistan); Doc 2.006 (1989-06-07, Pakistan); Doc 2.008 (1989-06-09, Pakistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,George H. W. Bush,Matched authority entry,"Bush, George Herbert Walker","Bush, George Herbert Walker, President of the United States from January 20, 1989, until January 20, 1993",White House,Core officials; Presidential,30,Pakistan; India; Afghanistan; Regional,1989-01-23,1992-12-03,"Doc 2.001 (1989-01-23, Pakistan); Doc 2.002 (1989-01-25, Pakistan); Doc 3.001 (1989-02-23, India); Doc 1.005 (1989-02-24, Afghanistan); Doc 2.003 (1989-02-24, Pakistan); Doc 2.004 (1989-02-25, Pakistan)",Check whether the entry should remain in Persons after final document selection and editor scope review.,
Chronology participant,Ghulam Ishaq Khan,Matched authority entry,Ghulam Ishaq Khan,"Ghulam Ishaq Khan, President of Pakistan from August 17, 1988, until July 18, 1993",Foreign government,Foreign principals; Pakistan,1,Pakistan,1989-01-25,1989-01-25,"Doc 2.002 (1989-01-25, Pakistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Helmut Kohl,Matched authority entry,"Kohl, Helmut","Kohl, Helmut, Chancellor of the Federal Republic of Germany",Foreign government,Foreign principals; Pakistan,1,Pakistan,1989-06-07,1989-06-07,"Doc 2.007 (1989-06-07, Pakistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Hosni Mubarak,Matched authority entry,"Mubarak, Hosni","Mubarak, Hosni, President of Egypt",Foreign government,Foreign principals; Regional,1,Regional,1989-10-02,1989-10-02,"Doc 4.004 (1989-10-02, Regional)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Hussain Muhammad Ershad,Matched authority entry,"Ershad, Hussain Muhammad","Ershad, Hussain Muhammad, President of Bangladesh until December 6, 1990",Foreign government,Foreign principals; Bangladesh,1,Regional,1990-10-01,1990-10-01,"Doc 4.005 (1990-10-01, Regional)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Khaleda Zia,Matched authority entry,Khaleda Zia,"Khaleda Zia, Prime Minister of Bangladesh from March 20, 1991",Foreign government,Foreign principals; Bangladesh,1,Regional,1992-03-19,1992-03-19,"Doc 4.006 (1992-03-19, Regional)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,King Fahd,Matched authority entry,"Fahd bin Abdul Aziz Al Saud, King","Fahd bin Abdul Aziz Al Saud, King, King of Saudi Arabia",Foreign government,Foreign principals; Afghanistan,1,Afghanistan,1989-04-11,1989-04-11,"Doc 1.009 (1989-04-11, Afghanistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Lee Kuan Yew,Matched authority entry,Lee Kuan Yew,"Lee Kuan Yew, Prime Minister of Singapore until November 28, 1990; Senior Minister of Singapore from November 28, 1990",Foreign government,Foreign principals; Pakistan,1,Pakistan,1991-01-21,1991-01-21,"Doc 2.026 (1991-01-21, Pakistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Margaret Thatcher,Matched authority entry,"Thatcher, Margaret","Thatcher, Margaret, Prime Minister of the United Kingdom until November 28, 1990",Foreign government,Foreign principals; Afghanistan,1,Afghanistan,1989-11-24,1989-11-24,"Doc 1.013 (1989-11-24, Afghanistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Mikhail Gorbachev,Matched authority entry,"Gorbachev, Mikhail Sergeyevich","Gorbachev, Mikhail Sergeyevich, General Secretary of the Communist Party of the Soviet Union until August 1991; President of the Soviet Union from March 15, 1990, until December 25, 1991",Foreign government,Foreign principals; Afghanistan,1,Afghanistan,1990-09-09,1990-09-09,"Doc 1.015 (1990-09-09, Afghanistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Nawaz Sharif,Matched authority entry,Nawaz Sharif,"Nawaz Sharif, Prime Minister of Pakistan from November 6, 1990, until July 18, 1993",Foreign government,Foreign principals; Pakistan,2,Pakistan,1991-02-02,1992-12-03,"Doc 2.027 (1991-02-02, Pakistan); Doc 2.029 (1992-12-03, Pakistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,P. V. Narasimha Rao,Matched authority entry,"Rao, P. V. Narasimha","Rao, P. V. Narasimha, Prime Minister of India from June 21, 1991",Foreign government,Foreign principals; India,2,India,1991-12-15,1992-01-31,"Doc 3.009 (1991-12-15, India); Doc 3.010 (1992-01-31, India)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,R. Venkataraman,Matched authority entry,"Venkataraman, R.","Venkataraman, R., President of India until July 25, 1992",Foreign government,Foreign principals; India,1,India,1989-02-23,1989-02-23,"Doc 3.001 (1989-02-23, India)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Rajiv Gandhi,Matched authority entry,"Gandhi, Rajiv","Gandhi, Rajiv, Prime Minister of India until December 2, 1989",Foreign government,Foreign principals; India,3,India,1989-06-08,1989-10-18,"Doc 3.004 (1989-06-08, India); Doc 3.005 (1989-07-04, India); Doc 3.006 (1989-10-18, India)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Richard N. Haass,Matched authority entry,"Haass, Richard N.","Haass, Richard N., Special Assistant to the President for National Security Affairs and Senior Director for Near East and South Asian Affairs, from March 13, 1989, until November 1992",NSC,South Asia officials; Policy officials,7,Afghanistan; Pakistan,1989-10-16,1990-10-09,"Doc 1.010 (1989-10-16, Afghanistan); Doc 1.012 (1989-10-23, Afghanistan); Doc 2.015 (1990-06-30, Pakistan); Doc 2.017 (1990-07-16, Pakistan); Doc 1.016 (1990-10-04, Afghanistan); Doc 2.021 (1990-10-04, Pakistan)",Check whether the entry should remain in Persons after final document selection and editor scope review.,
Chronology participant,Sibghatullah Mojaddedi,Matched authority entry,"Mojaddedi, Sibghatullah","Mojaddedi, Sibghatullah, President of the Afghan Interim Government in 1989; President of Afghanistan from April 1992 until June 1992",Foreign government,Foreign principals; Afghanistan,1,Afghanistan,1989-11-27,1989-11-27,"Doc 1.014 (1989-11-27, Afghanistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Siddhartha Shankar Ray,Matched authority entry,"Ray, Siddhartha Shankar","Ray, Siddhartha Shankar, Ambassador of India to the United States during the Bush administration",Foreign government,Foreign principals; India,1,India,1991-02-08,1991-02-08,"Doc 3.008 (1991-02-08, India)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Turgut Ozal,Matched authority entry,"Ozal, Turgut","Ozal, Turgut, Prime Minister of Turkey until November 9, 1989; President of Turkey from November 9, 1989",Foreign government,Foreign principals; Afghanistan,1,Afghanistan,1989-02-24,1989-02-24,"Doc 1.005 (1989-02-24, Afghanistan)",Spot-check foreign role/date wording against final selected document text before publication.,
Chronology participant,Zhao Ziyang,Matched authority entry,Zhao Ziyang,"Zhao Ziyang, General Secretary of the Chinese Communist Party until June 1989",Foreign government,Foreign principals; India,1,India,1989-02-26,1989-02-26,"Doc 3.002 (1989-02-26, India)",Spot-check foreign role/date wording against final selected document text before publication.,
Institutional participant,Deputies Committee,Institutional label,,,,,19,Afghanistan; Regional; India; Pakistan,1989-02-08,1992-01-03,"Doc 1.002 (1989-02-08, Afghanistan); Doc 1.006 (1989-03-08, Afghanistan); Doc 4.002 (1989-04-07, Regional); Doc 3.003 (1989-05-04, India); Doc 1.011 (1989-10-18, Afghanistan); Doc 2.012 (1990-03-26, Pakistan)",Keep as a record participant/body label; do not add to Persons as an individual.,"Institutional NSC/DC meeting body; keep as a participant/body label, not a Persons entry."
Institutional participant,National Security Council,Institutional label,,,,,10,Afghanistan; Regional; Pakistan,1989-02-07,1992-07-10,"Doc 1.001 (1989-02-07, Afghanistan); Doc 1.003 (1989-02-10, Afghanistan); Doc 1.004 (1989-02-13, Afghanistan); Doc 4.001 (1989-02-22, Regional); Doc 1.007 (1989-03-14, Afghanistan); Doc 1.008 (1989-03-18, Afghanistan)",Keep as a record participant/body label; do not add to Persons as an individual.,"Institutional NSC meeting body; keep as a participant/body label, not a Persons entry."
