Item type,Decision (Select / Exclude / Defer / Cite only / Resolved),Decision date,Owner,Decision rationale,Follow-up,Item ID,Compiler #,Priority or queue,Chapter or lane,Date,Title,Status,Pages,NAID or target records,Source locator,Next action,Source note or need,Catalog URL,PDF URL
Confirmed record,,,,,,scowcroft-366551660-111-benazir-bhutto-memcon,2.004,Released chronology,Pakistan,1989-02-25,Memorandum of Conversation,Declassified,2 pages,366551660; 91107-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001 | source pages 111-112 | 41-bpr-scow-pcor-memcon-91107-001.pdf,Ready for source-note and selection review.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, source pages 111-112. Declassified.",https://catalog.archives.gov/id/366551660,documents/pakistan/1989-02-25-bush-benazir-bhutto-memcon-scowcroft.pdf
Confirmed record,,,,,,scowcroft-366551661-21-zhao-ziyang-memcon,3.002,Released chronology,India,1989-02-26,Memorandum of Conversation,Declassified,12 pages,366551661; 91107-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-002 | source pages 21-32 | 41-bpr-scow-pcor-memcon-91107-002.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, 91107-002, source pages 21-32. Declassified.",https://catalog.archives.gov/id/366551661,documents/india/1989-02-26-bush-zhao-ziyang-memcon-scowcroft.pdf
Confirmed record,,,,,,nsc-source-470760979,1.006,Review ledger,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,6 pages,470760979; 90009-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-005 | 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, 90009-005. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
Confirmed record,,,,,,nsc-source-470760888,1.007,Review ledger,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",Restricted - Possibly,1 page,470760888; 90000-004,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-004 | 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), 90000-004. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
Confirmed record,,,,,,nsc-source-446396815,1.008,Review ledger,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",Restricted - Possibly,43 pages,446396815; 90003-006,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-006 | 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), 90003-006. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
Confirmed record,,,,,,nsc-source-470760991,4.002,Review ledger,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Restricted - Possibly,102 pages,470760991; 90009-017,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-017 | 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, 90009-017. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
Confirmed record,,,,,,scowcroft-366551686-65-king-fahd-telcon,1.009,Released chronology,Afghanistan,1989-04-11,Memorandum of a Telephone Conversation,Declassified,2 pages,366551686; 91111-001,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-001 | source pages 65-66 | 41-bpr-scow-pcor-telcon-91111-001.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, 91111-001, source pages 65-66. Declassified.",https://catalog.archives.gov/id/366551686,documents/afghanistan/1989-04-11-bush-king-fahd-telcon-scowcroft.pdf
Confirmed record,,,,,,nsc-source-470760996,3.003,Review ledger,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Restricted - Possibly,45 pages,470760996; 90010-001,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90010-001 | 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), 90010-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
Confirmed record,,,,,,bush-library-428080031,2.005,Released chronology,Pakistan,1989-06-06,Memorandum of Conversation,Full,3 pages,428080031; [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989 | 1989-06-06--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
Confirmed record,,,,,,scowcroft-366551687-51-benazir-bhutto-telcon,2.006,Released chronology,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Declassified,5 pages,366551687; 91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 51-55 | 41-bpr-scow-pcor-telcon-91111-002.pdf,Ready for source-note and selection review.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, source pages 51-55. Declassified.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-benazir-bhutto-telcon-scowcroft.pdf
Confirmed record,,,,,,scowcroft-366551687-49-helmut-kohl-telcon,2.007,Released chronology,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Declassified,2 pages,366551687; 91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 49-50 | 41-bpr-scow-pcor-telcon-91111-002.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, source pages 49-50. Declassified.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-helmut-kohl-telcon-scowcroft.pdf
Confirmed record,,,,,,bush-library-428080057,3.004,Released chronology,India,1989-06-08,Memorandum of Telephone Conversation,Full,4 pages,428080057; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-08--Gandhi.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
Confirmed record,,,,,,scowcroft-366551687-56-benazir-bhutto-telcon,2.008,Released chronology,Pakistan,1989-06-09,Memorandum of a Telephone Conversation,Declassified,2 pages,366551687; 91111-002,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002 | source pages 56-57 | 41-bpr-scow-pcor-telcon-91111-002.pdf,Ready for source-note and selection review.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, source pages 56-57. Declassified.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-09-bush-benazir-bhutto-telcon-scowcroft.pdf
Confirmed record,,,,,,bush-library-428080061,2.009,Released chronology,Pakistan,1989-06-10,Memorandum of Telephone Conversation,Full,1 page,428080061; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | 1989-06-10--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.",https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
Confirmed record,,,,,,bush-library-428080113,3.005,Released chronology,India,1989-07-04,Memorandum of Telephone Conversation,Full,2 pages,428080113; [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989 | 1989-07-04--Gandhi.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Full release.",https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
Confirmed record,,,,,,bush-library-428080169,2.010,Released chronology,Pakistan,1989-08-05,Memorandum of Telephone Conversation,Full,2 pages,428080169; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989 | 1989-08-05--Bhutto.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Full release.",https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
Confirmed record,,,,,,nsc-source-446396836,4.003,Review ledger,Regional,1989-08-29,"NSD-20 - August 29, 1989 - U.S. Policy toward South Asia",Restricted - Possibly,45 pages,446396836; 90003-027,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-027 | 41-bpr-nsc-hfiles-nsd-20-90003-027.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-20 - August 29, 1989 - U.S. Policy toward South Asia, 90003-027. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396836,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf
Confirmed record,,,,,,scowcroft-366551664-118-hosni-mubarak-memcon,4.004,Released chronology,Regional,1989-10-02,Memorandum of Conversation,Declassified,5 pages,366551664; 91107-005,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-005 | source pages 118-122 | 41-bpr-scow-pcor-memcon-91107-005.pdf,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/14/89-10/2/89, 91107-005, source pages 118-122. Declassified.",https://catalog.archives.gov/id/366551664,documents/regional/1989-10-02-bush-hosni-mubarak-memcon-scowcroft.pdf
Confirmed record,,,,,,470426218-nsc-dc-deputies-committee-meeting-october-16-1989-re-afghanistan,1.010,Review ledger,Afghanistan,1989-10-16,"NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan",Restricted - Possibly,18 pages,470426218; CF01625-007,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-007 | 41-bpr-nsc-haass_meeting-cf01625-007.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan, CF01625-007. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426218,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-007.pdf
Confirmed record,,,,,,nsc-source-470761041,1.011,Review ledger,Afghanistan,1989-10-18,"NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,8 pages,470761041; 90011-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90011-020 | 41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90011-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf
Confirmed record,,,,,,bush-library-428080301,3.006,Released chronology,India,1989-10-18,Memorandum of Telephone Conversation,Full,1 page,428080301; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989 | 1989-10-18--Gandhi.pdf,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. Full release.",https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
Confirmed record,,,,,,470426219-nsc-meeting-october-23-1989-re-afghanistan,1.012,Review ledger,Afghanistan,1989-10-23,"NSC Meeting - October 23, 1989 re: Afghanistan",Restricted - Possibly,24 pages,470426219; CF01625-008,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-008 | 41-bpr-nsc-haass_meeting-cf01625-008.pdf,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC Meeting - October 23, 1989 re: Afghanistan, CF01625-008. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426219,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-008.pdf
