Compiler #,Queue,Chapter,Date,Title,Type,Participants,Countries,Release status,Pages,NAID,Local identifier,Series NAID,Source pages,Object filename,Source locator,Source note,Provenance note,Provenance links,Daily Diary refs,Daily Diary details,Date line,Subject line,Topics,Compiler risks,Next action,Catalog URL,PDF URL
2.004,Released chronology,Pakistan,1989-02-25,Memorandum of Conversation,Memcon,George H. W. Bush; Benazir Bhutto,Pakistan,Declassified,2,366551660,91107-001,4545941,111-112,41-bpr-scow-pcor-memcon-91107-001.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-001,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, source pages 111-112. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/24/89-2/25/89, 91107-001, NAID 366551660, source pages 111-112.",https://catalog.archives.gov/id/366551660; documents/pakistan/1989-02-25-bush-benazir-bhutto-memcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-001.pdf; https://catalog.archives.gov/id/4522156,,,"February 25, 1989","Welcoming Banquet in Beijing, China",South Asia; Pakistan; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; Pakistan; Memcon; Head of state,,Ready for source-note and selection review.,https://catalog.archives.gov/id/366551660,documents/pakistan/1989-02-25-bush-benazir-bhutto-memcon-scowcroft.pdf
3.002,Released chronology,India,1989-02-26,Memorandum of Conversation,Memcon,George H. W. Bush; Zhao Ziyang,India; China,Declassified,12,366551661,91107-002,4545941,21-32,41-bpr-scow-pcor-memcon-91107-002.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91107-002,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, 91107-002, source pages 21-32. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 2/26/89-4/19/89, 91107-002, NAID 366551661, source pages 21-32.",https://catalog.archives.gov/id/366551661; documents/india/1989-02-26-bush-zhao-ziyang-memcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-002.pdf; https://catalog.archives.gov/id/4522156; https://catalog.archives.gov/id/415889673; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_26_89-12791-020_415889673.pdf,Presidential Daily Backup 12791-020,Presidential Daily Backup | [Presidential Daily Backup] 2/26/1989 | 12791-020 | https://catalog.archives.gov/id/415889673 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-02_26_89-12791-020_415889673.pdf | matched: Zhao; Ziyang; China; Central; Committee; Communist; Party; People; Republic,"February 26, 1989",President Bush’s Meeting with General Secretary of the Central Committee of the Communist Party Zhao Ziyang of the People’s Republic of China,South Asia; India; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; India; Memcon; Head of state; Presidential Daily Diary cross-reference,,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/366551661,documents/india/1989-02-26-bush-zhao-ziyang-memcon-scowcroft.pdf
1.006,Review ledger,Afghanistan,1989-03-08,"NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",Deputies Committee meeting minutes,Deputies Committee,Afghanistan,Restricted - Possibly,6,470760979,90009-005,312294079,,41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-005,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan, 90009-005. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-005, NAID 470760979. Catalog URL: https://catalog.archives.gov/id/470760979. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf, object ID 483296203, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf. Page count: 6 (measured from available PDF). FOIA tracking: 2008-1289-F, 2005-0052-F, 2005-1002-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760979; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf; https://catalog.archives.gov/id/312294079; https://catalog.archives.gov/id/2163580,,,"March 8, 1989","NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan",South Asia; Afghanistan; NSC/DC Meetings; Measured pages; South Asia; Afghanistan; Deputies Committee meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760979,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf
1.007,Review ledger,Afghanistan,1989-03-14,"NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",NSC meeting minutes,National Security Council,Afghanistan,Restricted - Possibly,1,470760888,90000-004,312293887,,41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC) Meeting Files | 90000-004,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM), 90000-004. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC) Meeting Files, 90000-004, NAID 470760888. Catalog URL: https://catalog.archives.gov/id/470760888. Series URL: https://catalog.archives.gov/id/312293887. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf, object ID 483296427, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf. Page count: 1 (measured from available PDF). FOIA tracking: 2004-0722-F, 2009-0857-F, 2004-0728-F, 2005-0989-F, 2005-0052-F, 2005-0992-F, 2005-1003-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90000. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760888; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf; https://catalog.archives.gov/id/312293887; https://catalog.archives.gov/id/2163580,,,"March 14, 1989","NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)",South Asia; Afghanistan; NSC Meeting Files; Measured pages; South Asia; Afghanistan; NSC meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760888,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf
1.008,Review ledger,Afghanistan,1989-03-18,"NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",National Security Directive source file,National Security Council,Afghanistan,Restricted - Possibly,43,446396815,90003-006,313189290,,41-bpr-nsc-hfiles-nsd-5-90003-006.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-006,"Source: George H.W. Bush Library, National Security Council, H-Files, NSD Files, NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM), 90003-006. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Directive (NSD) Files, 90003-006, NAID 446396815. Catalog URL: https://catalog.archives.gov/id/446396815. Series URL: https://catalog.archives.gov/id/313189290. Digital object: 41-bpr-nsc-hfiles-nsd-5-90003-006.pdf, object ID 483296520, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf. Page count: 43 (measured from available PDF). FOIA tracking: 2005-0052-F. Other finding aid identifier: Pres-Bush. Container: 90003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/446396815; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf; https://catalog.archives.gov/id/313189290; https://catalog.archives.gov/id/2163580,,,"March 18, 1989","NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)",South Asia; Afghanistan; NSD Files; Measured pages; South Asia; Afghanistan; National Security Directive source file; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/446396815,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf
4.002,Review ledger,Regional,1989-04-07,"NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",Deputies Committee meeting minutes,Deputies Committee,South Asia,Restricted - Possibly,102,470760991,90009-017,312294079,,41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90009-017,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, 90009-017. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90009-017, NAID 470760991. Catalog URL: https://catalog.archives.gov/id/470760991. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf, object ID 483295871, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf. Page count: 102 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90009. Access restriction: Restricted - Possibly. Deduped local provenance: Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Meeting Files, NAID 470426183, CF01618-009.",https://catalog.archives.gov/id/470760991; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf; https://catalog.archives.gov/id/312294079; https://catalog.archives.gov/id/2163580,,,"April 7, 1989","NSC/DC 017 - April 07, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia",South Asia; Regional; NSC/DC Meetings; Measured pages; South Asia; Regional; Deputies Committee meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760991,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf
1.009,Released chronology,Afghanistan,1989-04-11,Memorandum of a Telephone Conversation,Telcon,George H. W. Bush; King Fahd,Afghanistan; Saudi Arabia,Declassified,2,366551686,91111-001,4545941,65-66,41-bpr-scow-pcor-telcon-91111-001.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-001,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, 91111-001, source pages 65-66. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/23/89-5/10/89, 91111-001, NAID 366551686, source pages 65-66.",https://catalog.archives.gov/id/366551686; documents/afghanistan/1989-04-11-bush-king-fahd-telcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91111-001.pdf; https://catalog.archives.gov/id/4522156; https://catalog.archives.gov/id/415889760; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-017_415889760.pdf; https://catalog.archives.gov/id/415889761; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-018_415889761.pdf,Presidential Daily Diary 12794-017; Presidential Daily Backup 12794-018,Presidential Daily Diary | [Presidential Daily Diary] 4/11/1989 | 12794-017 | https://catalog.archives.gov/id/415889760 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-017_415889760.pdf | matched: Fahd; Saudi; Arabia; Presidential Daily Backup | [Presidential Daily Backup] 4/11/1989 | 12794-018 | https://catalog.archives.gov/id/415889761 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-04_11_89-12794-018_415889761.pdf | matched: Fahd; Saudi; Arabia,"April 11, 1989",Telephone Conversation with King Fahd of Saudi Arabia,South Asia; Afghanistan; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; Afghanistan; Telcon; Head of state; Presidential Daily Diary cross-reference,,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/366551686,documents/afghanistan/1989-04-11-bush-king-fahd-telcon-scowcroft.pdf
3.003,Review ledger,India,1989-05-04,"NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",Deputies Committee meeting minutes,Deputies Committee,India,Restricted - Possibly,45,470760996,90010-001,312294079,,41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90010-001,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM), 90010-001. Access restriction: Restricted - Possibly.","Source: National Archives Catalog, Records of the National Security Council (George H. W. Bush Administration), H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, 90010-001, NAID 470760996. Catalog URL: https://catalog.archives.gov/id/470760996. Series URL: https://catalog.archives.gov/id/312294079. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf, object ID 483295936, URL https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf. Page count: 45 (measured from available PDF). FOIA tracking: 2005-1002-F, 2008-1289-F. Other finding aid identifier: Pres-Bush, Pres-Bush. Container: 90010. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760996; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf; https://catalog.archives.gov/id/312294079; https://catalog.archives.gov/id/2163580,,,"May 4, 1989","NSC/DC 022 - May 04, 1989 - NSC/DC Meeting on South Asia, Keywords: South Asia, India (File located @ LM)",South Asia; India; NSC/DC Meetings; Measured pages; South Asia; India; Deputies Committee meeting minutes; Measured page count,catalog-derived-source-note; declassification-review,Review access status and confirm whether the item can be selected or only cited as withheld/restricted context. Resolve compiler risk: catalog-derived-source-note; declassification-review.,https://catalog.archives.gov/id/470760996,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-22-90010-001.pdf
2.005,Released chronology,Pakistan,1989-06-06,Memorandum of Conversation,Memcon,George H. W. Bush; Benazir Bhutto,Pakistan,Full,3,428080031,[Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,321498039,,1989-06-06--Bhutto.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/6/1989; Type Memcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080031. National Archives Catalog item: Plenary Meeting with Prime Minister Bhutto of Pakistan, June 6, 1989, NAID 428080031. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons) - June 1989-December 1989]: June 1989, NAID 325377389. Digital object: 1989-06-06--Bhutto.pdf, object ID 428080032, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551663, 91107-004, source pages 21-23; Records of the National Security Council (George H. W. Bush Administration), Richard N. Haass' Presidential Meeting Files, NAID 470426373, CF01404-020.",https://catalog.archives.gov/id/428080031; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf; https://catalog.archives.gov/id/321498039; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580; https://catalog.archives.gov/id/415889872; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-025_415889872.pdf; https://catalog.archives.gov/id/415889873; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-026_415889873.pdf,Presidential Daily Diary 12798-025; Presidential Daily Backup 12798-026,Presidential Daily Diary | [Presidential Daily Diary] 6/6/1989 | 12798-025 | https://catalog.archives.gov/id/415889872 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-025_415889872.pdf | matched: Benazir; Bhutto; Pakistan; Pakistani; Presidential Daily Backup | [Presidential Daily Backup] 6/6/1989 | 12798-026 | https://catalog.archives.gov/id/415889873 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_06_89-12798-026_415889873.pdf | matched: Bhutto; Pakistan,"June 6, 1989","Plenary Meeting with Prime Minister Bhutto of Pakistan, June 6, 1989",South Asia; Pakistan; Bush Library Memcons and Telcons; Memcon; South Asia; Pakistan; Memcon; Head of state; Presidential Daily Diary cross-reference,catalog-derived-source-note,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/428080031,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-06-06--Bhutto.pdf
2.006,Released chronology,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Telcon,George H. W. Bush; Benazir Bhutto,Pakistan,Declassified,5,366551687,91111-002,4545941,51-55,41-bpr-scow-pcor-telcon-91111-002.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, source pages 51-55. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 51-55.",https://catalog.archives.gov/id/366551687; documents/pakistan/1989-06-07-bush-benazir-bhutto-telcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91111-002.pdf; https://catalog.archives.gov/id/4522156,,,"June 7, 1989","Telephone Conversation with Guillermo Endara, President-elect of Panama _ (UV)",South Asia; Pakistan; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; Pakistan; Telcon; Head of state,,Ready for source-note and selection review.,https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-benazir-bhutto-telcon-scowcroft.pdf
2.007,Released chronology,Pakistan,1989-06-07,Memorandum of a Telephone Conversation,Telcon,George H. W. Bush; Helmut Kohl,Pakistan; Germany,Declassified,2,366551687,91111-002,4545941,49-50,41-bpr-scow-pcor-telcon-91111-002.pdf,Brent Scowcroft Papers | Presidential Correspondence Files | 91111-002,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, source pages 49-50. Declassified.","Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 49-50.",https://catalog.archives.gov/id/366551687; documents/pakistan/1989-06-07-bush-helmut-kohl-telcon-scowcroft.pdf; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91111-002.pdf; https://catalog.archives.gov/id/4522156; https://catalog.archives.gov/id/415889874; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_07_89-12798-027_415889874.pdf,Presidential Daily Diary 12798-027,Presidential Daily Diary | [Presidential Daily Diary] 6/7/1989 | 12798-027 | https://catalog.archives.gov/id/415889874 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_07_89-12798-027_415889874.pdf | matched: Helmut; Kohl; Germany; German,"June 7, 1989",Telephone Conversation with West German Chancellor Helmut Kohl,South Asia; Pakistan; Brent Scowcroft Papers; Head-of-state memcons and telcons; South Asia; Pakistan; Telcon; Head of state; Presidential Daily Diary cross-reference,,"Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/366551687,documents/pakistan/1989-06-07-bush-helmut-kohl-telcon-scowcroft.pdf
3.004,Released chronology,India,1989-06-08,Memorandum of Telephone Conversation,Telcon,George H. W. Bush; Rajiv Gandhi,India,Full,4,428080057,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,321498139,,1989-06-08--Gandhi.pdf,Records of the National Security Council (George H. W. Bush Administration) | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,"Source: George H.W. Bush Library, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Full release.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/8/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080057. National Archives Catalog item: Presidential Phone Call to Prime Minister Gandhi, June 8, 1989, NAID 428080057. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989, NAID 325592633. Digital object: 1989-06-08--Gandhi.pdf, object ID 428080058, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf. Access restriction: Unrestricted. Page count: 4 (measured from available PDF).",https://catalog.archives.gov/id/428080057; https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf; https://catalog.archives.gov/id/321498139; https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons; https://catalog.archives.gov/id/2163580; https://catalog.archives.gov/id/415889876; https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_08_89-12798-029_415889876.pdf,Presidential Daily Diary 12798-029,Presidential Daily Diary | [Presidential Daily Diary] 6/8/1989 | 12798-029 | https://catalog.archives.gov/id/415889876 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_08_89-12798-029_415889876.pdf | matched: Gandhi; India,"June 8, 1989","Presidential Phone Call to Prime Minister Gandhi, June 8, 1989",South Asia; India; Bush Library Memcons and Telcons; Telcon; Measured page count; South Asia; India; Telcon; Head of state; Measured page count; Presidential Daily Diary cross-reference,catalog-derived-source-note,"Resolve compiler risk: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
