Compiler number,Date,Date line,Chapter,Release status,Document type,Title,Subject line,Pages,Countries,Participants,Source label,FRUS-style source note candidate,Citation/source-note basis,Full provenance note,Compiler action,Daily Diary/Backup references,Compiler risks,NAID,Local identifier,Catalog URL,PDF URL
2.007,1989-06-07,"June 7, 1989",Pakistan,Declassified,Telcon,Memorandum of a Telephone Conversation,Telephone Conversation with West German Chancellor Helmut Kohl,2,Pakistan; Germany,George H. W. Bush; Helmut Kohl,George Bush Library | Presidential Correspondence Files | 91111-002,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 49-50.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 49-50.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Diary | 12798-027 | [Presidential Daily Diary] 6/7/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_07_89-12798-027_415889874.pdf | matches Helmut; Kohl; Germany; German,,366551687,91111-002,https://catalog.archives.gov/id/366551687,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1989-06-07-bush-helmut-kohl-telcon-scowcroft.pdf
3.004,1989-06-08,"June 8, 1989",India,Full,Telcon,Memorandum of Telephone Conversation,"Presidential Phone Call to Prime Minister Gandhi, June 8, 1989",4,India,George H. W. Bush; Rajiv Gandhi,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. Secret.",Citation marker extracted; classification Secret; OCR-normalized first-page match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/8/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080057. National Archives Catalog item: Presidential Phone Call to Prime Minister Gandhi, June 8, 1989, NAID 428080057. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989, NAID 325592633. Digital object: 1989-06-08--Gandhi.pdf, object ID 428080058, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf. Access restriction: Unrestricted. Page count: 4 (measured from available PDF).","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Diary | 12798-029 | [Presidential Daily Diary] 6/8/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_08_89-12798-029_415889876.pdf | matches Gandhi; India,catalog-derived-source-note,428080057,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,https://catalog.archives.gov/id/428080057,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-08--Gandhi.pdf
2.008,1989-06-09,"June 9, 1989",Pakistan,Declassified,Telcon,Memorandum of a Telephone Conversation,Telephone Conversation with President Mohammad Hosni Mubarak of Egypt (4,2,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Correspondence Files | 91111-002,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, OA/ID 91111-002, source pages 56-57.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 5/10/89-7/27/89, 91111-002, NAID 366551687, source pages 56-57.",Ready for source-note and selection review.,,,366551687,91111-002,https://catalog.archives.gov/id/366551687,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1989-06-09-bush-benazir-bhutto-telcon-scowcroft.pdf
2.009,1989-06-10,"June 10, 1989",Pakistan,Full,Telcon,Memorandum of Telephone Conversation,"TELCON with Prime Minister Bhutto of Pakistan, June 10, 1989",1,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989 | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-006, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989. No classification marking.",Citation marker extracted; classification No classification marking; Visual first-page image inspection; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 6/10/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080061. National Archives Catalog item: TELCON with Prime Minister Bhutto of Pakistan, June 10, 1989, NAID 428080061. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989, NAID 325592633. Digital object: 1989-06-10--Bhutto.pdf, object ID 428080062, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551687, 91111-002, source pages 58-58.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12799-003 | [Presidential Daily Diary] 6/10/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_10_89-12799-003_415889880.pdf | matches Benazir; Bhutto; Pakistan
Presidential Daily Backup | 12799-004 | [Presidential Daily Backup] 6/10/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-06_10_89-12799-004_415889881.pdf | matches Benazir; Bhutto",catalog-derived-source-note,428080061,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: June 1989,https://catalog.archives.gov/id/428080061,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-06-10--Bhutto.pdf
3.005,1989-07-04,"July 4, 1989",India,Full,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Gandhi of India, July 4, 1989",2,India,George H. W. Bush; Rajiv Gandhi,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989 | [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-007, [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989. Confidential.",Citation marker extracted; classification Confidential; Exact first-page text match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 7/4/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080113. National Archives Catalog item: Telephone Conversation with Prime Minister Gandhi of India, July 4, 1989, NAID 428080113. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989, NAID 325592634. Digital object: 1989-07-04--Gandhi.pdf, object ID 428080114, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551687, 91111-002, source pages 80-81.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12801-010 | [Presidential Daily Backup] 7/4/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-07_04_89-12801-010_415889929.pdf | matches Rajiv; India,catalog-derived-source-note,428080113,[Memorandum of Telephone Conversations (Telcons) - January 1989-July 1989]: July 1989,https://catalog.archives.gov/id/428080113,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-07-04--Gandhi.pdf
2.010,1989-08-05,"August 5, 1989",Pakistan,Full,Telcon,Memorandum of Telephone Conversation,"Phone Call to the President from the Pakistani Prime Minister, August 5, 1989",2,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989 | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-008, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989. Secret.",Citation marker extracted; classification Secret; Exact first-page text match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 8/5/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080169. National Archives Catalog item: Phone Call to the President from the Pakistani Prime Minister, August 5, 1989, NAID 428080169. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989, NAID 325592635. Digital object: 1989-08-05--Bhutto.pdf, object ID 428080170, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551688, 91111-003, source pages 33-34.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12803-007 | [Presidential Daily Diary] 8/5/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-08_05_89-12803-007_415889992.pdf | matches Benazir; Bhutto; Pakistan
Presidential Daily Backup | 12803-008 | [Presidential Daily Backup] 8/5/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-08_05_89-12803-008_415889993.pdf | matches Benazir; Bhutto; Pakistan",catalog-derived-source-note,428080169,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: August 1989,https://catalog.archives.gov/id/428080169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-05--Bhutto.pdf
4.004,1989-10-02,"October 2, 1989",Regional,Declassified,Memcon,Memorandum of Conversation,Meeting with President Mubarak of Egypt (U),5,Egypt,George H. W. Bush; Hosni Mubarak,George Bush Library | Presidential Correspondence Files | 91107-005,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/14/89-10/2/89, OA/ID 91107-005, source pages 118-122.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/14/89-10/2/89, 91107-005, NAID 366551664, source pages 118-122.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12807-007 | [Presidential Daily Diary] 10/2/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_02_89-12807-007_415890108.pdf | matches Hosni; Mubarak; Egypt
Presidential Daily Backup | 12807-008 | [Presidential Daily Backup] 10/2/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_02_89-12807-008_415890109.pdf | matches Hosni; Mubarak; Egypt",,366551664,91107-005,https://catalog.archives.gov/id/366551664,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/regional/1989-10-02-bush-hosni-mubarak-memcon-scowcroft.pdf
3.006,1989-10-18,"October 18, 1989",India,Full,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Gandhi of India, October 18, 1989",1,India,George H. W. Bush; Rajiv Gandhi,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989 | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-010, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989. No classification marking.",Citation marker extracted; classification No classification marking; Visual first-page image inspection; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 10/18/1989; Type Telcon; Participants Gandhi, Rajiv; Country India; Release Status Full; NAID 428080301. National Archives Catalog item: Telephone Conversation with Prime Minister Gandhi of India, October 18, 1989, NAID 428080301. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989, NAID 325592637. Digital object: 1989-10-18--Gandhi.pdf, object ID 428080302, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551688, 91111-003, source pages 86-86.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Diary | 12808-017 | [Presidential Daily Diary] 10/18/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_18_89-12808-017_415890140.pdf | matches Rajiv; Gandhi; India,catalog-derived-source-note,428080301,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: October 1989,https://catalog.archives.gov/id/428080301,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-18--Gandhi.pdf
2.011,1989-11-01,"November 1, 1989",Pakistan,Full,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with Prime Minister Bhutto of Pakistan, November 1, 1989",3,Pakistan,George H. W. Bush; Benazir Bhutto,George Bush Library | Presidential Telcon Files | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989 | [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, OA/ID CF01731-011, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989. Confidential.",Citation marker extracted; classification Confidential; OCR-normalized first-page match; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 11/1/1989; Type Telcon; Participants Bhutto, Benazir; Country Pakistan; Release Status Full; NAID 428080317. National Archives Catalog item: Telephone Conversation with Prime Minister Bhutto of Pakistan, November 1, 1989, NAID 428080317. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989, NAID 325592638. Digital object: 1989-11-01--Bhutto.pdf, object ID 428080318, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf. Access restriction: Unrestricted. Page count: 3 (measured from available PDF).","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Diary | 12810-001 | [Presidential Daily Diary] 11/1/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_01_89-12810-001_415890168.pdf | matches Benazir; Bhutto,catalog-derived-source-note,428080317,[Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: November 1989,https://catalog.archives.gov/id/428080317,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-01--Bhutto.pdf
1.013,1989-11-24,"November 24, 1989",Afghanistan,Declassified,Memcon,Memorandum of Conversation,Meeting with Prime Minister Margaret Thatcher of Great Britain (§),10,Afghanistan; United Kingdom,George H. W. Bush; Margaret Thatcher,George Bush Library | Presidential Correspondence Files | 91107-006,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 10/3/89-12/16/89, OA/ID 91107-006, source pages 91-100.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 10/3/89-12/16/89, 91107-006, NAID 366551665, source pages 91-100.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.",Presidential Daily Backup | 12812-006 | [Presidential Daily Backup] 11/24/1989 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_24_89-12812-006_415890215.pdf | matches Margaret; Thatcher; Kingdom,,366551665,91107-006,https://catalog.archives.gov/id/366551665,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/afghanistan/1989-11-24-bush-margaret-thatcher-memcon-scowcroft.pdf
1.015,1990-09-09,"September 9, 1990",Afghanistan,Declassified,Memcon,Memorandum of Conversation,Meeting with President Mikhail Gorbachev of the USSR (U),9,Afghanistan; Soviet Union,George H. W. Bush; Mikhail Gorbachev,George Bush Library | Presidential Correspondence Files | 91108-001,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/5/90-9/24/90, OA/ID 91108-001, source pages 130-138.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 7/5/90-9/24/90, 91108-001, NAID 366551670, source pages 130-138.",Ready for source-note and selection review.,,,366551670,91108-001,https://catalog.archives.gov/id/366551670,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/afghanistan/1990-09-09-bush-mikhail-gorbachev-memcon-scowcroft.pdf
4.005,1990-10-01,"October 1, 1990",Regional,Full,Memcon,Memorandum of Conversation,"Meeting with President Hussain Muhammad Ershad of Bangladesh, October 1, 1990",5,Bangladesh,George H. W. Bush; Hussain Muhammad Ershad,George Bush Library | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990 | [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, OA/ID CF01728-004, [Memorandum of Conversations (Memcons) - July 1990-December 1990]: October 1990. Secret.",Citation marker extracted; classification Secret; Visual first-page image inspection; Citation marker and classification extracted; compiler should still visually spot-check before final numbering.,"Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 10/1/1990; Type Memcon; Participants Ershad, Hussain Muhammad; Country Bangladesh; Release Status Full; NAID 428081099. National Archives Catalog item: Meeting with President Hussain Muhammad Ershad of Bangladesh, October 1, 1990, NAID 428081099. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990, NAID 325541480. Digital object: 1990-10-01--Ershad.pdf, object ID 428081100, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Ershad.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551671, 91108-002, source pages 92-96.","Resolve compiler risks: catalog-derived-source-note. Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12838-003 | [Presidential Daily Diary] 10/01/1990 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-10_01_90-12838-003_415890836.pdf | matches Hussain; Muhammad; Ershad; Bangladesh
Presidential Daily Backup | 12838-004 | [Presidential Daily Backup] 10/01/1990 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-10_01_90-12838-004_415890837.pdf | matches Ershad; Bangladesh; Bangladeshi",catalog-derived-source-note,428081099,[Memorandum of Conversations (Memcons)-July 1990-December 1990]: October 1990,https://catalog.archives.gov/id/428081099,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-10-01--Ershad.pdf
2.026,1991-01-21,"January 21, 1991",Pakistan,Declassified,Memcon,Memorandum of Conversation,"Meeting with Lee Kuan Yew, Senior Minister, Singapore (U)",9,Pakistan; Singapore,George H. W. Bush; Lee Kuan Yew,George Bush Library | Presidential Correspondence Files | 91108-004,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/14/91-3/8/91, OA/ID 91108-004, source pages 7-15.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Meetings--Memorandum of Conversations 1/14/91-3/8/91, 91108-004, NAID 366551673, source pages 7-15.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12847-011 | [Presidential Daily Diary] 1/21/1991 | https://s3.amazonaws.com/NARAprodstorage/opastorage/live/27/1863/186327/content/arcmedia/media/images/40/19/40-1899a.gif | matches Lee; Yew; Singapore
Presidential Daily Backup | 12847-012 | [Presidential Daily Backup] 1/21/1991 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_21_91-12847-012_415891063.pdf | matches Lee; Yew; Singapore",,366551673,91108-004,https://catalog.archives.gov/id/366551673,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1991-01-21-bush-lee-kuan-yew-memcon-scowcroft.pdf
2.027,1991-02-02,"February 2, 1991",Pakistan,Declassified,Telcon,Memorandum of a Telephone Conversation,"Presidential Call to Prime Minister Nawaz of Pakistan on February 2, 1991 (U)",4,Pakistan,George H. W. Bush; Nawaz Sharif,George Bush Library | Presidential Correspondence Files | 91112-005,"Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/30/91-2/22/91, OA/ID 91112-005, source pages 12-15.",Catalog/source-note metadata; citation-sheet extraction not staged.,"Source: George H.W. Bush Library, Brent Scowcroft Papers, Presidential Correspondence Files, Presidential Telephone Calls--Memorandum of Conversations 1/30/91-2/22/91, 91112-005, NAID 366551697, source pages 12-15.","Use Daily Diary/Backup only for chronology, time, location, attendees, and call status.","Presidential Daily Diary | 12848-003 | [Presidential Daily Diary] 2/2/1991 | https://s3.amazonaws.com/NARAprodstorage/opastorage/live/39/1863/186339/content/arcmedia/media/images/40/21/40-2032a.gif | matches Sharif; Pakistan
Presidential Daily Backup | 12848-004 | [Presidential Daily Backup] 2/2/1991 | https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-02_02_91-12848-004_415891087.pdf | matches Nawaz; Sharif; Pakistan",,366551697,91112-005,https://catalog.archives.gov/id/366551697,https://therealjameswilson.github.io/Bush41-SouthAsia/documents/pakistan/1991-02-02-bush-nawaz-sharif-telcon-scowcroft.pdf
