Item type,Compiler #,Review lane,Priority or queue,Chapter or lane,Date,Title,Access/release status,Pages,Page basis,NAID,Local identifier,Source locator,Next action,Source note,Catalog URL,PDF URL
Confirmed record,4.003,Confirmed access-status decision,Review ledger,Regional,1989-08-29,"NSD-20 - August 29, 1989 - U.S. Policy toward South Asia",Restricted - Possibly,45 pages,Measured or recorded extent; verify item boundaries before final selection.,446396836,90003-027,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Directive (NSD) Files | 90003-027 | 41-bpr-nsc-hfiles-nsd-20-90003-027.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, NSD-20 - August 29, 1989 - U.S. Policy toward South Asia, OA/ID 90003-027.",https://catalog.archives.gov/id/446396836,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf
Confirmed record,1.010,Confirmed access-status decision,Review ledger,Afghanistan,1989-10-16,"NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan",Restricted - Possibly,18 pages,Measured or recorded extent; verify item boundaries before final selection.,470426218,CF01625-007,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-007 | 41-bpr-nsc-haass_meeting-cf01625-007.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 16, 1989 re: Afghanistan, OA/ID CF01625-007.",https://catalog.archives.gov/id/470426218,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-007.pdf
Confirmed record,1.011,Confirmed access-status decision,Review ledger,Afghanistan,1989-10-18,"NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,8 pages,Measured or recorded extent; verify item boundaries before final selection.,470761041,90011-020,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90011-020 | 41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), OA/ID 90011-020.",https://catalog.archives.gov/id/470761041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf
Confirmed record,1.012,Confirmed access-status decision,Review ledger,Afghanistan,1989-10-23,"NSC Meeting - October 23, 1989 re: Afghanistan",Restricted - Possibly,24 pages,Measured or recorded extent; verify item boundaries before final selection.,470426219,CF01625-008,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-008 | 41-bpr-nsc-haass_meeting-cf01625-008.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC Meeting - October 23, 1989 re: Afghanistan, OA/ID CF01625-008.",https://catalog.archives.gov/id/470426219,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-008.pdf
Confirmed record,1.014,Confirmed access-status decision,Review ledger,Afghanistan,1989-11-27,"Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989",Restricted - Possibly,35 pages,Measured or recorded extent; verify item boundaries before final selection.,470426381,CF01404-028,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Presidential Meeting Files | CF01404-028 | 41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Presidential Meeting Files, Presidential Visit of President [of Afghanistan Interim Government Sibgahtullah] Mojaddedi - November 27, 1989, OA/ID CF01404-028.",https://catalog.archives.gov/id/470426381,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/pres_mtg_2554869/41-bpr-nsc-haass_pres_mtg-cf01404-028.pdf
Confirmed record,2.012,Confirmed access-status decision,Review ledger,Pakistan,1990-03-26,"NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan",Restricted - Possibly,13 pages,Measured or recorded extent; verify item boundaries before final selection.,470761101,90013-024,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-024 | 41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan, OA/ID 90013-024.",https://catalog.archives.gov/id/470761101,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf
Confirmed record,3.007,Confirmed access-status decision,Review ledger,India,1990-04-04,"NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India",Restricted - Possibly,41 pages,Measured or recorded extent; verify item boundaries before final selection.,470761103,90013-026,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90013-026 | 41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India, OA/ID 90013-026.",https://catalog.archives.gov/id/470761103,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf
Confirmed record,2.013,Confirmed access-status decision,Review ledger,Pakistan,1990-05-07,"NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)",Restricted - Possibly,42 pages,Measured or recorded extent; verify item boundaries before final selection.,470761116,90014-013,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90014-013 | 41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM), OA/ID 90014-013.",https://catalog.archives.gov/id/470761116,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf
Confirmed record,2.014,Confirmed access-status decision,Review ledger,Pakistan,1990-06-28,"NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,Measured or recorded extent; verify item boundaries before final selection.,470761140,90015-005,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-005 | 41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-005.",https://catalog.archives.gov/id/470761140,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf
Confirmed record,2.015,Confirmed access-status decision,Review ledger,Pakistan,1990-06-30,"NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan",Restricted - Possibly,14 pages,Measured or recorded extent; verify item boundaries before final selection.,470426229,CF01625-018,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-018 | 41-bpr-nsc-haass_meeting-cf01625-018.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan, OA/ID CF01625-018.",https://catalog.archives.gov/id/470426229,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-018.pdf
Confirmed record,2.016,Confirmed access-status decision,Review ledger,Pakistan,1990-07-09,"NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,10 pages,Measured or recorded extent; verify item boundaries before final selection.,470761146,90015-012,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90015-012 | 41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90015-012.",https://catalog.archives.gov/id/470761146,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf
Confirmed record,2.017,Confirmed access-status decision,Review ledger,Pakistan,1990-07-16,"NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program",Restricted - Possibly,29 pages,Measured or recorded extent; verify item boundaries before final selection.,470426231,CF01625-020,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-020 | 41-bpr-nsc-haass_meeting-cf01625-020.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC Meeting - July 16, 1990 Re: Pakistan Nuclear Program, OA/ID CF01625-020.",https://catalog.archives.gov/id/470426231,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-020.pdf
Confirmed record,2.018,Confirmed access-status decision,Review ledger,Pakistan,1990-08-31,"NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,37 pages,Measured or recorded extent; verify item boundaries before final selection.,470761184,90016-018,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-018 | 41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-018.",https://catalog.archives.gov/id/470761184,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf
Confirmed record,2.019,Confirmed access-status decision,Review ledger,Pakistan,1990-09-05,"NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,11 pages,Measured or recorded extent; verify item boundaries before final selection.,470761189,90016-023,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-023 | 41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-023.",https://catalog.archives.gov/id/470761189,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf
Confirmed record,2.020,Confirmed access-status decision,Review ledger,Pakistan,1990-10-02,"NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,Measured or recorded extent; verify item boundaries before final selection.,470761204,90016-038,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-038 | 41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters, OA/ID 90016-038.",https://catalog.archives.gov/id/470761204,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf
Confirmed record,1.016,Confirmed access-status decision,Review ledger,Afghanistan,1990-10-04,"DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan",Restricted - Possibly,10 pages,Measured or recorded extent; verify item boundaries before final selection.,470426235,CF01625-024,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-024 | 41-bpr-nsc-haass_meeting-cf01625-024.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan, OA/ID CF01625-024.",https://catalog.archives.gov/id/470426235,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-024.pdf
Confirmed record,2.021,Confirmed access-status decision,Review ledger,Pakistan,1990-10-04,"NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan",Restricted - Possibly,8 pages,Measured or recorded extent; verify item boundaries before final selection.,470426238,CF01625-027,Records of the National Security Council (George H. W. Bush Administration) | Richard N. Haass' Meeting Files | CF01625-027 | 41-bpr-nsc-haass_meeting-cf01625-027.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - October 4, 1990 Re: Pakistan, OA/ID CF01625-027.",https://catalog.archives.gov/id/470426238,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-027.pdf
Confirmed record,1.017,Confirmed access-status decision,Review ledger,Afghanistan,1990-10-05,"NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,26 pages,Measured or recorded extent; verify item boundaries before final selection.,470761206,90016-040,Records of the National Security Council (George H. W. Bush Administration) | H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files | 90016-040 | 41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf,"Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, OA/ID 90016-040.",https://catalog.archives.gov/id/470761206,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf
