Item type,Review order,Priority,Boundary score,Compiler #,Chapter or lane,Date,Title,Release or status,Pages,Page basis,NAID,Local identifier,Source family,Source locator,Matched gaps,Boundary reasons,Boundary question,Next action,Source note,Catalog URL,PDF URL
Confirmed record,11,Critical,101,4.006,Regional,1992-03-19,Memorandum of Conversation,Full,6 pages,Recorded extent; still verify selected item boundaries before final numbering.,428082145,[Memorandum of Conversations (Memcons)-January 1992-June 1992]: March 1992,Presidential Memcon Files,Records of the National Security Council (George H. W. Bush Administration) | Presidential Memcon Files | [Memorandum of Conversations (Memcons)-January 1992-June 1992]: March 1992 | 1992-03-19--Zia.pdf,"Critical: Recover page-level boundaries in Haass and meeting-file PDFs; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks; Medium: Audit source notes, titles, and provenance before final numbering",critical gap target; high-priority gap target; folder or staff-file source pool; source page range not fixed; catalog-derived title/source note,Are the exact source pages and item title stable enough for final citation?,"Open the PDF, verify item-level page boundaries and title, then update source note or decision log if the folder contains multiple documents. Gap cue: Prioritize Haass Working Files 470426597, Haass Meeting File 470426255, Mojaddedi 470426381, Bangladesh Zia 428082145, and Pakistan nuclear meeting files 470426231, 470426238, and 470426240.","Source: George H.W. Bush Library, Bush Presidential Records, Scowcroft, Brent, Collection, Presidential Correspondence Files, Presidential Memcons Files, OA/ID 91109-007, Presidential Meetings - Memorandum of Conversations 3/3/92 - 4/28/92. Confidential.",https://catalog.archives.gov/id/428082145,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-19--Zia.pdf
Potential lead,12,High,96,,Afghanistan,1989-01-20,Afghanistan,Unrestricted; Online object available,,No stable page count recorded.,645607685,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607685 | 41-bpr-dhm-cheney-country-31827-001.pdf,High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan.",https://catalog.archives.gov/id/645607685,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31827-001.pdf
Potential lead,13,High,96,,Afghanistan,1989-01-20,Afghanistan [1],Restricted - Partly; Online object available,,No stable page count recorded.,645607321,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607321 | 41-bpr-dhm-cheney-country-31812-001.pdf,High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [1].",https://catalog.archives.gov/id/645607321,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-001.pdf
Potential lead,14,High,96,,Afghanistan,1989-01-20,Afghanistan [2],Restricted - Partly; Online object available,,No stable page count recorded.,645607323,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607323 | 41-bpr-dhm-cheney-country-31812-002.pdf,High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Review Afghanistan files 645607685, 645607321, and 645607323.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Afghanistan [2].",https://catalog.archives.gov/id/645607323,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31812-002.pdf
Potential lead,15,High,96,,India,1989-01-20,India,Restricted - Partly; Online object available,,No stable page count recorded.,645607415,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607415 | 41-bpr-dhm-cheney-country-31815-004.pdf,"High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India.",https://catalog.archives.gov/id/645607415,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31815-004.pdf
Potential lead,16,High,96,,India,1989-01-20,India [1],Restricted - Partly; Online object available,,No stable page count recorded.,645608141,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645608141 | 41-bpr-dhm-cheney-country-31847-001.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1].",https://catalog.archives.gov/id/645608141,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-001.pdf
Potential lead,17,High,96,,India,1989-01-20,India [1],Restricted - Partly; Online object available,,No stable page count recorded.,645607135,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607135 | 41-bpr-dhm-cheney-country-31802-007.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [1].",https://catalog.archives.gov/id/645607135,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-007.pdf
Potential lead,18,High,96,,India,1989-01-20,India [2],Restricted - Partly; Online object available,,No stable page count recorded.,645608143,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645608143 | 41-bpr-dhm-cheney-country-31847-002.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2].",https://catalog.archives.gov/id/645608143,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31847-002.pdf
Potential lead,19,High,96,,India,1989-01-20,India [2],Restricted - Partly; Online object available,,No stable page count recorded.,645607137,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607137 | 41-bpr-dhm-cheney-country-31802-008.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [2].",https://catalog.archives.gov/id/645607137,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31802-008.pdf
Potential lead,20,High,96,,India,1989-01-20,India [A],Restricted - Partly; Online object available,,No stable page count recorded.,645607805,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607805 | 41-bpr-dhm-cheney-country-31832-001.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [A].",https://catalog.archives.gov/id/645607805,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-001.pdf
Potential lead,21,High,96,,India,1989-01-20,India [B],Restricted - Partly; Online object available,,No stable page count recorded.,645607807,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607807 | 41-bpr-dhm-cheney-country-31832-002.pdf,High: Build an India policy lane beyond leader conversations; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, India [B].",https://catalog.archives.gov/id/645607807,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31832-002.pdf
Potential lead,22,High,96,,Pakistan,1989-01-20,Pakistan,Restricted - Partly; Online object available,,No stable page count recorded.,645608235,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645608235 | 41-bpr-dhm-cheney-country-31850-010.pdf,High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search,high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan.",https://catalog.archives.gov/id/645608235,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31850-010.pdf
Potential lead,23,High,96,,Pakistan,1989-01-20,Pakistan [A],Restricted - Partly; Online object available,,No stable page count recorded.,645607905,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607905 | 41-bpr-dhm-cheney-country-31836-005.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A].",https://catalog.archives.gov/id/645607905,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31836-005.pdf
Potential lead,24,High,96,,Pakistan,1989-01-20,Pakistan [A],Restricted - Partly; Online object available,,No stable page count recorded.,645607531,,Cheney collection,Richard Cheney Collection | Country Files | Country Files | NAID 645607531 | 41-bpr-dhm-cheney-country-31820-001.pdf,"High: Build an India policy lane beyond leader conversations; High: Pair the Pakistan nuclear sequence with non-H-Files sources; High: Screen Cheney Country Files before closing the source search; High: Split the Regional lane into Kashmir, Bangladesh, and other South Asia tracks",high-priority gap target; promotion requires PDF screening; folder or staff-file source pool; catalog-derived title/source note; page count unresolved,"Which pages contain policy-bearing material, and should any part be promoted to the confirmed chronology?","Open the PDF, identify policy-bearing pages, assign page boundaries, and record promote/exclude/cite-only rationale. Gap cue: Search India with Rao, Venkataraman, Gandhi, Shankar, Kashmir, nuclear, nonproliferation, economic reform, trade, and defense terms.","Source: George H.W. Bush Library, Richard Cheney Collection, Country Files, Pakistan [A].",https://catalog.archives.gov/id/645607531,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-rbc/country_470572294/41-bpr-dhm-cheney-country-31820-001.pdf
